tourney_id,tourney_name,draw_size,tourney_level,tourney_date,match_num,winner_name,winner_ioc,loser_name,loser_ioc,round
1968-520,French Open,128,G,1968-05-27,1,Ken Rosewall,AUS,Tom Edlefsen,USA,R128
1968-520,French Open,128,G,1968-05-27,2,Ken Rosewall,AUS,Colin Stubs,AUS,R64
1968-520,French Open,128,G,1968-05-27,3,Ken Rosewall,AUS,Jose Mandarino,BRA,R32
1968-520,French Open,128,G,1968-05-27,4,Ken Rosewall,AUS,Herb Fitzgibbon,USA,R16
1968-520,French Open,128,G,1968-05-27,5,Ken Rosewall,AUS,Thomaz Koch,BRA,QF
1968-520,French Open,128,G,1968-05-27,6,Ken Rosewall,AUS,Andres Gimeno,ESP,SF
1968-520,French Open,128,G,1968-05-27,7,Ken Rosewall,AUS,Rod Laver,AUS,F
1968-520,French Open,128,G,1968-05-27,8,Colin Stubs,AUS,Jean Claude Barclay,FRA,R128
1968-520,French Open,128,G,1968-05-27,9,Jaime Pinto Bravo,CHI,Berry Geraghty,AUS,R128
1968-520,French Open,128,G,1968-05-27,10,Jose Mandarino,BRA,Jaime Pinto Bravo,CHI,R64
1968-520,French Open,128,G,1968-05-27,11,Jose Mandarino,BRA,Jean Baptiste Chanfreau,FRA,R128
1968-520,French Open,128,G,1968-05-27,12,Fernando Gentil,BRA,Jan Kodes,CZE,R128
1968-520,French Open,128,G,1968-05-27,13,Paul Hutchins,GBR,Fernando Gentil,BRA,R64
1968-520,French Open,128,G,1968-05-27,14,Paul Hutchins,GBR,Tadeusz Nowicki,POL,R128
1968-520,French Open,128,G,1968-05-27,15,Herb Fitzgibbon,USA,Paul Hutchins,GBR,R32
1968-520,French Open,128,G,1968-05-27,16,Herb Fitzgibbon,USA,Sergio Tacchini,ITA,R128
1968-520,French Open,128,G,1968-05-27,17,Herb Fitzgibbon,USA,Patrick Proisy,FRA,R64
1968-520,French Open,128,G,1968-05-27,18,Patrick Proisy,FRA,Ramanathan Krishnan,IND,R128
1968-520,French Open,128,G,1968-05-27,19,Wieslaw Gasiorek,POL,Lew Hoad,AUS,R128
1968-520,French Open,128,G,1968-05-27,20,Wieslaw Gasiorek,POL,Michele Leclercq,FRA,R64
1968-520,French Open,128,G,1968-05-27,21,Francois Jauffret,FRA,Wieslaw Gasiorek,POL,R32
1968-520,French Open,128,G,1968-05-27,22,Michele Leclercq,FRA,Reyno Summers,RSA,R128
1968-520,French Open,128,G,1968-05-27,23,Francois Jauffret,FRA,John Barrett,GBR,R128
1968-520,French Open,128,G,1968-05-27,24,Francois Jauffret,FRA,Jan Kukal,CZE,R64
1968-520,French Open,128,G,1968-05-27,25,Thomaz Koch,BRA,Francois Jauffret,FRA,R16
1968-520,French Open,128,G,1968-05-27,26,Jan Kukal,CZE,Pancho Guzman,ECU,R128
1968-520,French Open,128,G,1968-05-27,27,Tom Christensen,DEN,Wilhelm Bungert,GER,R128
1968-520,French Open,128,G,1968-05-27,28,Terry Ryan,RSA,Tom Christensen,DEN,R64
1968-520,French Open,128,G,1968-05-27,29,Terry Ryan,RSA,Alexander Marcial,PHI,R128
1968-520,French Open,128,G,1968-05-27,30,Thomaz Koch,BRA,Terry Ryan,RSA,R32
1968-520,French Open,128,G,1968-05-27,31,Gerald Pilet,FRA,Jaidip Mukherjea,IND,R128
1968-520,French Open,128,G,1968-05-27,32,Thomaz Koch,BRA,Gerald Pilet,FRA,R64
1968-520,French Open,128,G,1968-05-27,33,Thomaz Koch,BRA,Zlatko Ivancic,CRO,R128
1968-520,French Open,128,G,1968-05-27,34,Andres Gimeno,ESP,Eddie Cruz,PHI,R128
1968-520,French Open,128,G,1968-05-27,35,Andres Gimeno,ESP,Sever Dron,ROU,R64
1968-520,French Open,128,G,1968-05-27,36,Andres Gimeno,ESP,Ingo Buding,GER,R32
1968-520,French Open,128,G,1968-05-27,37,Andres Gimeno,ESP,Ray Ruffels,AUS,R16
1968-520,French Open,128,G,1968-05-27,38,Andres Gimeno,ESP,Boro Jovanovic,CRO,QF
1968-520,French Open,128,G,1968-05-27,39,Sever Dron,ROU,Pierre Jauffret,FRA,R128
1968-520,French Open,128,G,1968-05-27,40,Ingo Buding,GER,Pierre Joly,FRA,R128
1968-520,French Open,128,G,1968-05-27,41,Ingo Buding,GER,Petr Strobl,CZE,R64
1968-520,French Open,128,G,1968-05-27,42,Petr Strobl,CZE,Ivan Molina,COL,R128
1968-520,French Open,128,G,1968-05-27,43,Ray Ruffels,AUS,V Kazarevitch,RUS,R128
1968-520,French Open,128,G,1968-05-27,44,Ray Ruffels,AUS,Frew Mcmillan,RSA,R64
1968-520,French Open,128,G,1968-05-27,45,Ray Ruffels,AUS,Patricio Cornejo,CHI,R32
1968-520,French Open,128,G,1968-05-27,46,Frew Mcmillan,RSA,Ference Komaromi,HUN,R128
1968-520,French Open,128,G,1968-05-27,47,Nicola Spear,SRB,Daniel Contet,FRA,R128
1968-520,French Open,128,G,1968-05-27,48,Patricio Cornejo,CHI,Nicola Spear,SRB,R64
1968-520,French Open,128,G,1968-05-27,49,Patricio Cornejo,CHI,Detler Herdy,AUT,R128
1968-520,French Open,128,G,1968-05-27,50,Fred Stolle,AUS,Christian Duxin,FRA,R128
1968-520,French Open,128,G,1968-05-27,51,Boro Jovanovic,CRO,Fred Stolle,AUS,R64
1968-520,French Open,128,G,1968-05-27,52,Boro Jovanovic,CRO,David Lloyd,GBR,R128
1968-520,French Open,128,G,1968-05-27,53,Boro Jovanovic,CRO,Dick Crealy,AUS,R32
1968-520,French Open,128,G,1968-05-27,54,Boro Jovanovic,CRO,Gerald Battrick,GBR,R16
1968-520,French Open,128,G,1968-05-27,55,Ilie Nastase,ROU,Jean Pierre Olivier,FRA,R128
1968-520,French Open,128,G,1968-05-27,56,Dick Crealy,AUS,Ilie Nastase,ROU,R64
1968-520,French Open,128,G,1968-05-27,57,Dick Crealy,AUS,Michael Sangster,GBR,R128
1968-520,French Open,128,G,1968-05-27,58,Gerald Battrick,GBR,Nicola Pietrangeli,ITA,R128
1968-520,French Open,128,G,1968-05-27,59,Gerald Battrick,GBR,Jean Courcol,FRA,R64
1968-520,French Open,128,G,1968-05-27,60,Gerald Battrick,GBR,Dimitri Sturdza,SUI,R32
1968-520,French Open,128,G,1968-05-27,61,Jean Courcol,FRA,Eduardo Gorostagia,BOL,R128
1968-520,French Open,128,G,1968-05-27,62,Dimitri Sturdza,SUI,Eric Drossart,BEL,R128
1968-520,French Open,128,G,1968-05-27,63,Dimitri Sturdza,SUI,Bernard Montrenaud,FRA,R64
1968-520,French Open,128,G,1968-05-27,64,Bernard Montrenaud,FRA,Carlos Fernandez,BRA,R128
1968-520,French Open,128,G,1968-05-27,65,Eduardo Zuleta,ECU,Richard Hawkes,NZL,R128
1968-520,French Open,128,G,1968-05-27,66,Mark Cox,GBR,Eduardo Zuleta,ECU,R64
1968-520,French Open,128,G,1968-05-27,67,Mark Cox,GBR,Bernard Paul,FRA,R128
1968-520,French Open,128,G,1968-05-27,68,Istvan Gulyas,HUN,Mark Cox,GBR,R32
1968-520,French Open,128,G,1968-05-27,69,Torben Ulrich,DEN,Marco Gilardelli,ITA,R128
