tourney_id,tourney_name,draw_size,tourney_level,tourney_date,match_num,winner_name,winner_ioc,loser_name,loser_ioc,round
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,1,Dorothy Whitely,AUS,Judith Gohn,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,2,Eva De Jong,NED,Kay Williams,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,3,Kerry Ballard,AUS,Lorraine Robinson,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,4,L Griffiths,AUS,Valerie Caulley,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,5,Lita Sugiarto,INA,Sandra Hole,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,6,Beryl Jenkins,AUS,Wendy Gilchrist,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,7,Kathleen Harter,USA,Loris Butterfield,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,8,Margaret Court,AUS,Kerry Harris,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,9,Cynthia Doerner,AUS,Geri Shepard,USA,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,10,Marilyn Tesch,AUS,Helen Sheedy,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,11,Evonne Cawley,AUS,Ada Bakker,NED,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,12,Gail Benedetti,FRA,Sheila Washbourne,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,13,Lexie Kenny,AUS,S Stephen,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,14,Lynne Nette,AUS,Lynette Mansfield,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,15,Rosie Casals,USA,Carol Zeeman,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,16,Judy Dalton,AUS,Janine Whyte,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,17,Judith Salome,NED,Helen Oconnor,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,18,Lany Kaligis,INA,Joan Johnson,USA,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,19,Patricia Edwards,AUS,Heather Mckechnie,AUS,R64
1968-W-SL-AUS-01A-1968,Australian Open,62,G,1968-01-19,20,Karen Krantzcke,AUS,Ann Jenkins,AUS,R64
